page_link,num_sentences,num_words,num_nouns,num_verbs,num_stopwords
https://www.healthline.com/nutrition,17,696,185,136,253
https://www.healthline.com/health/obesity,50,1936,559,279,728
https://www.healthline.com/health/oral-cancer,47,1446,404,199,561
https://www.healthline.com/health/osteoarthritis,103,2635,727,422,982
https://www.healthline.com/health/osteoporosis,100,2252,596,370,929
https://www.healthline.com/health/ovarian-cysts,65,1488,389,227,533
https://www.healthline.com/health/overactive-bladder,95,2821,750,454,1118
https://www.healthline.com/health/parasitic-infections,43,833,211,139,323
https://www.healthline.com/health/parkinsons,117,2953,924,471,1093
https://www.healthline.com/health/personality-disorders,45,1082,313,163,418
https://www.healthline.com/health/phobia-simple-specific,56,1317,365,187,522
https://www.healthline.com/health/pneumonia,96,2359,627,390,911
https://www.healthline.com/parenthood,25,806,172,167,345
https://www.healthline.com/health/premenstrual-syndrome,55,1499,402,214,536
https://www.healthline.com/nutrition/probiotics-101,76,3182,848,508,1009
https://www.healthline.com/health/prostate-cancer,73,2224,635,343,855
https://www.healthline.com/health/psoriasis,124,3095,859,477,1113
https://www.healthline.com/health/psoriatic-arthritis,97,2312,651,359,844
https://www.healthline.com/health/psychotherapy,80,2057,505,334,851
https://www.healthline.com/health/rheumatoid-arthritis,74,2499,714,391,923
https://www.healthline.com/health/seizures,78,2208,594,346,857
https://www.healthline.com/program/wellness#sex,28,739,158,152,310
https://www.healthline.com/health/shingles,84,2780,734,446,1081
https://www.healthline.com/health/chronic-pain/shoulder-pain,52,1315,376,202,493
https://www.healthline.com/health/sinusitis,33,1108,304,158,400
https://www.healthline.com/health/skin-disorders,50,1498,434,202,534
https://www.healthline.com/program/sleep,23,635,169,113,252
https://www.healthline.com/health/stress,75,2122,497,337,898
https://www.healthline.com/health/stroke,115,3218,894,507,1271
https://www.healthline.com/health/teething,38,967,246,149,398
https://www.healthline.com/health/tmj-disorders,53,1424,369,239,561
https://www.healthline.com/parenthood/toddler,7,133,26,26,54
https://www.healthline.com/health/tongue-problems-2,68,1803,463,262,695
https://www.healthline.com/health/type-1-diabetes-causes-symtoms-treatments,133,3390,904,539,1321
https://www.healthline.com/health/type-2-diabetes,79,2316,589,385,916
https://www.healthline.com/health/ulcerative-colitis,84,2387,656,399,944
https://www.healthline.com/health/urinary-incontinence,55,1479,382,223,558
https://www.healthline.com/health/vaccinations,89,2407,664,398,924
https://www.healthline.com/health/vaginal-infection,58,1439,354,208,563
https://www.healthline.com/health/vertigo,34,1353,355,224,503
https://www.healthline.com/nutrition/vitamins-and-supplements,23,722,202,117,262
https://www.healthline.com/nutrition/weight-management,32,903,193,204,336
https://www.healthline.com/nutrition/weight-management,32,903,193,204,336
https://www.healthline.com/program/wellness,28,739,158,152,310
https://www.healthline.com/health/fitness-exercises/definitive-guide-to-yoga,203,6212,1655,957,2508
